orf_id	5F	1C	4A	8H	2G	8G	5L	2K	6F	3D	7B
CNAG_07760	5.640355588	5.737156527	5.989782563	5.664849762	5.81858927	5.437662745	5.353346272	5.367161324	5.617569918	5.420180469	5.295580828
CNAG_07762	2.030670688	2.21418935	1.904661223	1.991908491	2.49311727	2.035038566	2.344584967	2.60721677	2.517377763	2.548103211	2.448957765
CNAG_07763	5.86844658	5.981094931	6.247259507	6.402846543	5.266996237	4.802013607	4.554667312	4.652700035	4.342461686	4.233491406	4.49585606
CNAG_07764	1.10395602	0.106722783	-0.353871929	0.244224876	0.690524129	0.357730176	-0.139088028	0.515553719	1.197300432	0.422302017	-0.163068829
CNAG_07765	8.772465305	7.185446291	8.316112409	9.610684101	5.610955091	4.981289829	3.036930491	2.787506333	2.90565151	2.370822853	2.102372263
CNAG_07766	4.807746468	4.563472857	4.464938966	4.432074626	4.765777993	5.225575823	5.193524933	5.141279969	5.342287453	5.2765455	5.241021998
CNAG_07767	4.103153517	3.799783331	4.0839005	4.259868411	3.781931501	2.369278581	2.995612003	2.583009944	3.021056163	2.705963708	2.166231263
CNAG_07768	4.544558478	4.439720839	4.790034986	4.833343828	4.395090173	3.433050804	3.330734713	2.947747796	3.03942367	3.356780157	3.049318468
CNAG_07769	7.834572219	7.891485087	7.818645627	7.760659564	7.837658395	7.794872839	7.961168384	7.826624908	7.792129656	7.682757335	7.835863045
CNAG_07770	7.965261395	8.059150556	7.734721229	7.765498789	8.004354547	8.21035327	8.065309839	7.881619065	8.212059048	8.12214458	8.097240681
CNAG_07771	8.057595066	8.070785389	7.794421142	8.138098173	7.771365231	6.727831222	6.993560351	6.947153702	6.603678127	6.778359875	6.986732318
CNAG_07772	3.952073589	3.907519858	4.074176776	3.669193666	3.858242136	3.847465473	3.457873903	3.158993137	3.864551272	3.493000268	3.747208271
CNAG_07773	5.150796609	5.264490777	5.523743724	5.57949054	5.400588049	5.351046787	4.917493927	5.116196265	4.929771678	4.958690469	4.990676815
CNAG_07774	4.348760292	4.94860069	4.729375263	4.744633373	4.740798207	4.791931557	4.582840661	4.753746776	4.914926312	4.969111261	4.932185631
CNAG_07775	6.676361016	6.139748546	6.953288942	7.431797918	5.298151208	4.199849054	3.733937719	3.357562028	3.161837692	2.602665292	2.499414603
CNAG_07776	5.025210691	5.280611714	4.464938966	4.776945453	5.453820858	5.879772936	5.982813626	5.865590851	5.632770815	5.711488819	5.64284788
CNAG_07777	4.103153517	4.30434906	3.897980712	3.641382686	4.362709407	4.337912621	4.201894826	4.562727336	4.342461686	4.471985048	4.317511578
CNAG_07778	7.714520191	7.762548834	7.49705765	7.335285379	8.066994733	8.210826333	8.307724941	8.294158001	8.267161756	8.379146234	8.436045924
CNAG_07779	1.443074018	2.311548338	2.506074913	1.947174679	2.172861837	1.853061285	1.689452484	1.74668469	1.437834203	1.752289144	1.401751808
CNAG_07780	5.679361218	5.716566073	5.723573684	5.861480993	5.61645863	5.39833124	5.432889306	5.27572838	5.353341312	5.313816991	5.270376572
CNAG_07781	6.424169935	6.015215936	6.247259507	6.188971263	6.271747964	5.599592922	5.500911198	5.698203599	5.86418726	5.660961273	5.870764609
CNAG_07782	6.251579803	6.314337279	5.837167052	6.010240014	6.336539338	5.534567961	5.674589178	5.706630578	5.428433996	5.757303273	5.667881238
CNAG_07784	4.678941483	5.276598336	6.838791554	4.643113912	5.566154229	2.887709066	3.262700679	4.843089986	3.915160611	3.223855118	4.67116207
CNAG_07785	1.381329531	1.487744707	1.989878309	1.333607587	1.592072526	0.821371918	0.572797959	0.953428876	1.13033302	0.746921461	1.108598986
CNAG_07788	2.992583013	3.646501693	4.034612945	3.257610007	3.548525598	2.748674726	3.036930491	3.328736018	3.127909166	3.038375571	2.830284096
CNAG_07793	4.186747262	4.24807199	4.0839005	4.184785994	4.875421916	4.2448919	4.582840661	4.385122907	4.757412072	4.349707217	4.477094412
CNAG_07794	7.045745963	7.009215913	7.127940732	7.04680384	6.99871804	7.007038576	6.990934494	7.048971346	7.024856015	6.901804337	6.917679356
CNAG_07795	3.167388554	3.017147465	3.35575345	2.997332732	3.415942106	3.146976898	3.602498961	3.1090103	3.66607719	3.780170479	3.407398954
CNAG_07796	5.714212981	5.556962656	4.904200586	4.663997352	5.886215625	5.969726677	6.175512332	6.105402012	6.109924668	6.381911378	6.138904425
CNAG_07797	5.304247302	5.150691734	5.240470289	5.340980591	5.119759766	5.092258053	4.939450032	5.094954794	5.428433996	5.515687772	5.42847217
CNAG_07798	4.340672016	4.172332196	4.004211375	4.194387786	4.33627112	3.895338874	3.695747967	3.519377829	4.227013505	4.049328903	3.895876006
CNAG_07799	6.617324658	6.47532283	6.414569459	6.616113368	6.155584608	6.089807669	5.671312838	5.646581105	6.129346562	5.903012778	5.839278863
CNAG_07800	6.279350712	6.288661365	6.439399039	6.516291035	6.125021118	6.163994238	6.07990896	5.999646617	5.961308535	5.872806159	5.849040177
CNAG_07801	7.545364614	7.468326987	7.313980793	7.432812291	7.510460623	7.186111419	7.31237952	7.371319102	7.211576782	7.255769698	7.405029367
CNAG_07802	3.053235599	2.488528282	3.013085174	2.67953048	2.231421149	1.813739757	1.339233086	1.288888028	1.866006399	1.09022089	1.645278816
CNAG_07803	3.433866527	3.264147625	3.203516914	2.952769414	3.324750073	3.082265382	3.347253481	3.480593399	3.555563166	3.630649525	3.521665044
CNAG_07804	6.748442677	6.76467925	6.54348874	6.525829508	6.972134214	6.808809488	7.03621089	7.190876427	7.015608288	7.153258462	7.069428355
CNAG_07805	7.283714137	7.318274721	7.033253604	7.18926752	7.281931455	7.359113404	7.360979282	7.349959956	7.162145085	7.232169238	7.343347967
CNAG_07806	5.283300007	5.392393394	5.5555404	5.297093381	5.528700458	5.522423786	5.184360211	5.381267472	5.851249298	5.644801487	5.526011836
CNAG_07807	10.74451705	10.55031613	10.79237618	10.7554724	10.76022449	10.56818988	10.65585834	10.67735574	11.18199833	11.11840275	10.89106537
CNAG_07808	7.009215913	7.06728839	7.337541891	7.520349497	6.725804841	6.499076812	6.15454722	6.366983968	6.212636469	6.181414531	6.057049623
CNAG_07809	1.947898875	2.402750446	2.44702347	2.196871296	2.111824658	1.503641697	2.053890757	1.45814716	1.64393714	1.302880592	0.899055644
CNAG_07810	8.837136888	8.984542819	9.030551232	8.866642544	9.030026697	9.01962814	8.8978063	9.04307735	8.942421723	8.968028717	9.054326174
CNAG_07811	1.249298536	1.957665362	1.989878309	1.108353404	1.94687769	0.971851806	2.013062062	1.097098617	1.437834203	1.599690626	1.599751434
CNAG_07812	4.348760292	4.128470381	4.06438707	4.125793252	4.246839018	4.692465247	4.617300861	4.568903264	4.542441183	4.550415959	4.532662887
CNAG_07813	6.56273968	6.723995175	6.67957104	6.270665647	6.924122859	7.088580914	7.093634813	6.99838867	7.525984128	7.2956463	7.125723165
CNAG_07814	5.729780581	6.124199043	5.89630574	5.62280136	6.28908243	6.08568681	6.269512153	6.248860905	6.454252325	6.474424848	6.346100169
CNAG_07815	5.025210691	5.272573763	5.27483518	5.012286036	5.397394689	5.440892478	5.089361045	5.099228182	5.558300147	5.25541534	5.266739748
CNAG_07817	6.249421272	6.906478168	6.414569459	6.042495173	6.778305009	8.000381721	7.944301176	7.873533583	7.704203304	7.780662315	7.952510769
CNAG_07818	5.227369444	5.15507055	4.973839882	4.916914074	5.403774357	5.87739104	5.784811155	5.912483795	5.937022092	5.900292707	5.994659241
CNAG_07819	1.443074018	0.956533123	1.178456798	0.740042716	0.990923527	0.653348665	1.27160815	1.16390172	1.437834203	1.599690626	1.172188935
CNAG_07822	6.02806144	5.907739559	5.987194161	6.277457442	5.828107651	5.88689512	5.193524933	5.60210487	5.177921665	5.225303346	5.337789383
CNAG_07823	3.697232577	4.074012929	4.372756553	3.478029818	4.382224948	3.406864964	3.546376459	3.94679877	4.136064414	3.871881801	3.969315592
CNAG_07824	4.0839005	3.543382196	3.734749795	3.363539243	3.885849134	4.34482567	4.068778604	4.222268101	4.62988618	4.412141226	4.303380636
CNAG_07825	6.555769023	6.68061256	6.661826861	6.753981649	6.605043355	6.240124288	6.480768732	6.461300125	6.094635887	6.208054207	6.356402833
CNAG_07826	2.643922566	1.957665362	2.44702347	2.859287701	2.015135678	1.644770987	1.689452484	0.953428876	1.64393714	0.928758489	0.561845423
CNAG_07827	1.502284061	0.59331565	1.61387761	1.803995429	1.239424891	-0.014496895	0.328469392	-0.116198128	-0.256746647	0.746921461	0.244448387
CNAG_07830	5.155415171	5.377480597	5.094188865	5.429014608	5.338671453	5.494719761	5.508274952	5.473038296	5.577281289	5.571466002	5.535110386
CNAG_07831	4.282747648	4.198023142	4.551583379	4.145726732	4.558396968	4.215020129	4.272786788	4.433308975	4.773960267	4.216097697	4.274696618
CNAG_07832	1.766583191	2.145430383	2.321133993	1.803995429	2.540207016	1.4012508	1.927765712	2.023455051	1.38135504	1.752289144	2.102372263
CNAG_07836	2.353651105	2.431913418	1.666595958	2.40966066	2.49311727	2.34189797	2.719261191	2.315575269	2.463985093	2.306533886	2.102372263
CNAG_07837	4.004211375	3.928134293	4.213569057	3.862263479	4.12084334	3.393591626	4.038582474	3.90835028	3.973637642	3.849494724	3.942211945
CNAG_07838	6.847380165	6.685161395	6.947974502	7.200031691	6.525369619	6.173733108	5.870161231	5.946086591	5.897292819	5.625167739	5.776727138
CNAG_07839	11.33385155	11.00629722	10.88375361	10.81804748	11.49746105	11.20167206	11.5531448	11.52997594	11.5890692	11.70915911	11.61388595
CNAG_07840	2.840279647	2.460498545	2.218939442	2.307185581	1.981410331	1.4012508	0.875774487	0.953428876	1.197300432	0.928758489	1.172188935
CNAG_07841	3.645641983	2.997774802	3.448994149	3.709930047	3.12300805	2.16571219	2.242314424	2.058991133	2.093991575	1.429020999	2.000949175
CNAG_07842	2.183200038	2.621047292	2.287867041	1.853317668	2.630012072	3.32532891	3.245178777	3.039553155	2.945154379	3.223855118	2.869177753
CNAG_07845	2.76974016	2.595499439	3.221247386	3.682900663	2.468983186	2.617811352	1.689452484	1.656768296	1.060105138	1.93349157	1.108598986
CNAG_07846	6.151099265	6.043833648	6.194380916	6.063604817	6.091821914	6.321227103	6.241065965	6.320156656	6.13362726	6.278874069	6.180088356
CNAG_07847	2.253814846	2.718941474	2.793638598	2.234587761	2.832744125	2.498890198	2.470560944	2.255579412	2.436528994	2.370822853	2.595324152
CNAG_07848	5.848620047	5.881554286	6.17631507	6.015666202	5.83520545	5.903378076	5.77263227	5.782995889	5.671559518	5.631742055	5.597242493
CNAG_07849	4.222399975	4.343243991	4.537499203	4.548953876	4.451604804	3.420017294	3.546376459	3.544666714	3.73531375	3.449007338	3.254207919
CNAG_07851	10.12542943	10.3091186	10.06871566	10.00166948	10.22227676	8.46157466	8.565047473	8.738245609	8.674012075	8.698151781	8.718899569
CNAG_07852	2.44702347	2.488528282	1.81409279	2.234587761	2.315031041	2.369278581	2.242314424	1.871851997	2.195758293	2.462184377	1.645278816
CNAG_07853	3.033300056	1.69440458	2.321133993	2.859287701	1.760607805	1.3471947	0.572797959	0.034217356	0.546984163	0.840702919	0.120972382
CNAG_07854	3.072899418	1.787598879	2.669979217	3.123314715	2.172861837	1.853061285	1.689452484	1.288888028	2.058409058	1.429020999	1.347694031
CNAG_07855	7.317075889	6.892122509	6.541725849	6.721145188	7.433823744	7.298091051	7.679886783	7.336448104	7.571659404	7.450555992	7.772518772
CNAG_07856	5.723573684	5.210817778	5.613753356	5.864491292	5.060426764	5.444114996	4.939450032	4.832861694	5.71219765	5.465047609	4.977387796
CNAG_07857	6.941303803	6.956254456	6.923814242	6.716154617	7.023785774	7.478643186	7.456385007	7.40018096	7.485529316	7.462590949	7.422295629
CNAG_07858	1.666595958	0.873937699	1.381329531	1.699984539	0.513062347	0.463145014	-0.336007814	-0.284141072	-0.256746647	-0.169410905	-0.329248338
CNAG_07859	5.249138557	5.168127814	5.098991943	5.065576591	5.490248375	5.440892478	5.607605519	5.367161324	5.421448363	5.494202127	5.60590404
CNAG_07860	6.643861721	6.761810988	6.892342056	6.774931436	6.751043316	6.461406064	6.574949498	6.619911396	6.575634922	6.573364342	6.48560893
CNAG_07861	3.619137949	3.865385702	4.307857679	3.886158953	4.05751532	3.44596762	3.708590537	3.918058891	3.407874379	3.449007338	3.533820151
CNAG_07862	7.131461308	7.22971159	6.957261965	7.454949932	6.911866148	5.908053109	6.084842625	5.788298945	5.922251529	5.969399363	5.86114967
