orf_id	order_peaktime
CNAG_02490	24
CNAG_06344	840
CNAG_01907	568
CNAG_03116	569
CNAG_04153	841
CNAG_02504	570
CNAG_01438	941
CNAG_02508	571
CNAG_05576	572
CNAG_00681	573
CNAG_03002	1045
CNAG_06658	346
CNAG_05610	842
CNAG_06320	347
CNAG_05415	348
CNAG_03223	349
CNAG_06510	574
CNAG_03526	942
CNAG_01342	843
CNAG_02815	1046
CNAG_01023	161
CNAG_01602	575
CNAG_06483	576
CNAG_01425	577
CNAG_00423	844
CNAG_07015	578
CNAG_00398	579
CNAG_07552	25
CNAG_06647	26
CNAG_00861	350
CNAG_01316	27
CNAG_06949	1047
CNAG_06606	1048
CNAG_05513	845
CNAG_01880	351
CNAG_06573	943
CNAG_01827	580
CNAG_02161	293
CNAG_04736	581
CNAG_07686	28
CNAG_02366	352
CNAG_05217	582
CNAG_02999	583
CNAG_01704	846
CNAG_02222	1049
CNAG_05973	584
CNAG_01276	944
CNAG_04231	585
CNAG_05186	586
CNAG_05841	945
CNAG_03745	587
CNAG_01886	588
CNAG_04948	353
CNAG_06763	589
CNAG_07337	590
CNAG_03989	591
CNAG_02174	162
CNAG_07815	1050
CNAG_01670	592
CNAG_05164	163
CNAG_06086	593
CNAG_06686	29
CNAG_05390	594
CNAG_02771	164
CNAG_02550	1051
CNAG_00248	595
CNAG_01340	165
CNAG_04324	946
CNAG_07701	596
CNAG_00252	847
CNAG_02110	166
CNAG_03906	947
CNAG_05672	30
CNAG_07599	948
CNAG_05998	31
CNAG_00760	167
CNAG_07582	597
CNAG_05668	848
CNAG_06754	32
CNAG_06486	598
CNAG_01154	168
CNAG_04113	33
CNAG_00699	949
CNAG_02747	599
CNAG_03564	1052
CNAG_04221	169
CNAG_01566	600
CNAG_02715	601
CNAG_05429	34
CNAG_00172	602
CNAG_01573	950
CNAG_01162	603
CNAG_01149	951
CNAG_05692	849
CNAG_00498	604
CNAG_01105	850
CNAG_04650	605
CNAG_01817	606
CNAG_06419	607
CNAG_07545	608
CNAG_07668	609
CNAG_02293	35
CNAG_02800	36
CNAG_01697	851
CNAG_00601	1053
CNAG_03956	952
CNAG_02552	170
CNAG_02375	610
CNAG_04387	611
CNAG_02183	953
CNAG_00364	612
CNAG_03714	613
CNAG_04024	614
CNAG_06227	954
CNAG_06627	1054
CNAG_01624	615
CNAG_06029	37
CNAG_02398	38
CNAG_00890	616
CNAG_05247	617
CNAG_02426	171
CNAG_01872	618
CNAG_05262	172
CNAG_05606	619
CNAG_01477	852
CNAG_03845	620
CNAG_01370	354
CNAG_07842	173
CNAG_03500	621
CNAG_03148	622
CNAG_06692	623
CNAG_06214	1055
CNAG_03871	624
CNAG_05782	625
CNAG_03960	174
CNAG_06793	39
CNAG_03770	626
CNAG_00546	627
CNAG_05307	355
CNAG_06334	40
CNAG_06914	628
CNAG_00177	629
CNAG_04656	1056
CNAG_05100	630
CNAG_03587	631
CNAG_01975	175
CNAG_04230	356
CNAG_03237	853
CNAG_02240	1057
CNAG_01668	854
CNAG_02442	632
CNAG_04161	633
CNAG_07507	634
CNAG_04708	635
CNAG_03981	636
CNAG_01727	41
CNAG_00622	176
CNAG_03667	1058
CNAG_01096	294
CNAG_07315	637
CNAG_00365	177
CNAG_02797	955
CNAG_03271	855
CNAG_04990	178
CNAG_01583	638
CNAG_01750	1059
CNAG_05343	295
CNAG_00085	42
CNAG_00506	43
CNAG_02109	1060
CNAG_06162	639
CNAG_03134	357
CNAG_04520	640
CNAG_03743	641
CNAG_04761	642
CNAG_02756	643
CNAG_02065	644
CNAG_05338	645
CNAG_02682	44
CNAG_01050	646
CNAG_07681	45
CNAG_02691	46
CNAG_04920	1061
CNAG_01740	856
CNAG_02496	647
CNAG_02566	956
CNAG_01949	179
CNAG_06185	47
CNAG_02171	648
CNAG_01580	48
CNAG_07488	49
CNAG_05517	180
CNAG_04808	358
CNAG_04859	649
CNAG_02319	857
CNAG_02021	1062
CNAG_00392	858
CNAG_04511	650
CNAG_04133	296
CNAG_04247	651
CNAG_00128	957
CNAG_00031	359
CNAG_03949	652
CNAG_04698	50
CNAG_00714	859
CNAG_00687	51
CNAG_02786	181
CNAG_05036	860
CNAG_05928	653
CNAG_00979	654
CNAG_06460	360
CNAG_00926	361
CNAG_00561	52
CNAG_06555	362
CNAG_06757	958
CNAG_03901	182
CNAG_07313	861
CNAG_02767	53
CNAG_04922	655
CNAG_07640	862
CNAG_03011	1063
CNAG_01547	1064
CNAG_05522	1065
CNAG_04384	656
CNAG_05843	863
CNAG_02845	657
CNAG_02524	54
CNAG_01325	864
CNAG_06638	55
CNAG_01524	1066
CNAG_04501	183
CNAG_03413	865
CNAG_07551	1067
CNAG_03633	658
CNAG_00194	184
CNAG_06818	659
CNAG_07879	660
CNAG_05409	959
CNAG_07441	56
CNAG_05818	661
CNAG_04957	363
CNAG_05231	662
CNAG_02674	185
CNAG_02045	663
CNAG_07635	664
CNAG_01871	665
CNAG_04973	1068
CNAG_01017	666
CNAG_05227	960
CNAG_06534	57
CNAG_07539	58
CNAG_00387	667
CNAG_06778	866
CNAG_06739	186
CNAG_02884	961
CNAG_06004	668
CNAG_03261	364
CNAG_05379	187
CNAG_06079	962
CNAG_06608	59
CNAG_05654	867
CNAG_05102	963
CNAG_07938	964
CNAG_05550	669
CNAG_02196	868
CNAG_02309	869
CNAG_05908	60
CNAG_00752	670
CNAG_01512	1069
CNAG_03070	671
CNAG_01110	1070
CNAG_00989	365
CNAG_01914	297
CNAG_07580	366
CNAG_03213	61
CNAG_04302	672
CNAG_00983	673
CNAG_02408	674
CNAG_05771	965
CNAG_04046	675
CNAG_02229	676
CNAG_03215	188
