Category	orf_id	Gene_name	Reference
Thermotolerance	CNAG_01530	MGA2	Eukaryot Cell. 2004 Oct;3(5):1249-60.  
Thermotolerance	CNAG_04864	CIR1	PLoS Biol. 2006 Nov;4(12):e410.  
Thermotolerance	CNAG_04969	UGD1	J Biol Chem. 2004 Dec 3;279(49):51669-76.
Thermotolerance	CNAG_04755	BCK1	Mol Microbiol. 2005 Oct;58(2):393-408.  
Thermotolerance	CNAG_05063	SSK2	Eukaryot Cell. 2007 Dec;6(12):2278-89.  
Thermotolerance	CNAG_00769	PBS2	Mol Biol Cell. 2005 May;16(5):2285-300. 
Thermotolerance	CNAG_00293	RAS1	Eukaryot Cell. 2010 Mar;9(3):360-78.  
Thermotolerance	CNAG_05968	CDC420	Mol Microbiol. 2010 Feb;75(3):763-80.  
Thermotolerance	CNAG_03670	IRE1	PLoS Pathog. 2011 Aug;7(8):e1002177  
Thermotolerance	CNAG_00815	SIT1	Microbiology. 2007 Jan;153(Pt 1):29-41.  
Thermotolerance	CNAG_04514	MPK1	Mol Microbiol. 2003 Jun;48(5):1377-87  
Thermotolerance	CNAG_02867	PLC1	Mol Microbiol. 2008 Aug;69(4):809-26.  
Capsule	CNAG_05563	HOS2	Sci. Rep. 2015 Mar;5:8767.
Capsule	CNAG_04678	YPK1	Sci. Rep. 2015 Mar;5:8767.
Melanin	CNAG_04678	YPK1	Sci. Rep. 2015 Mar;5:8767.
Thermotolerance	CNAG_04678	YPK1	Sci. Rep. 2015 Mar;5:8767.
Melanin	CNAG_02915	PDK1	Sci. Rep. 2015 Mar;5:8767.
Thermotolerance	CNAG_02915	PDK1	Sci. Rep. 2015 Mar;5:8767.
Melanin	CNAG_06086	SSN3	Sci. Rep. 2015 Mar;5:8767.
Capsule	CNAG_06086	SSN3	Sci. Rep. 2015 Mar;5:8767.
Melanin	CNAG_00415	CDC2801	Sci. Rep. 2015 Mar;5:8767.
Thermotolerance	CNAG_00415	CDC2801	Sci. Rep. 2015 Mar;5:8767.
Melanin	CNAG_03811	CNAG_03811	Sci. Rep. 2015 Mar;5:8767.
Thermotolerance	CNAG_03811	CNAG_03811	Sci. Rep. 2015 Mar;5:8767.
