"Entry" "orf_id"
"155" "J9W2Q7" "CNAG_06173"
"156" "J9VM78" "CNAG_05273"
"157" "J9VS50" "CNAG_05921"
"158" "T2BNV7" "CNAG_07456"
"159" "J9VPT5" "CNAG_02433"
"160" "J9VMD1" "CNAG_02183"
"161" "J9VEN4" "CNAG_00363"
"162" "J9VGG9" "CNAG_03977"
"163" "J9VMA1" "CNAG_05295"
"164" "J9VT51" "CNAG_04803"
"165" "J9VTY9" "CNAG_01678"
"166" "J9VFF3" "CNAG_06722"
"167" "J9VW07" "CNAG_06424"
"168" "J9VSA4" "CNAG_04874"
"169" "J9VZY8" "CNAG_04882"
"170" "J9VW34" "CNAG_06453"
"171" "J9VZ01" "CNAG_04207"
"172" "T2BQ47" "CNAG_05479"
"173" "J9VNI6" "CNAG_01169"
"174" "J9W008" "CNAG_07898"
"175" "T2BNZ4" "CNAG_02160"
"176" "J9W0R5" "CNAG_06312"
"177" "J9VSX1" "CNAG_03270"
"178" "J9VVQ1" "CNAG_06114"
"179" "J9VJG9" "CNAG_06877"
"180" "J9VM00" "CNAG_02332"
"181" "J9VNX4" "CNAG_01011"
"182" "J9VP98" "CNAG_05758"
"183" "J9W2M7" "CNAG_06148"
"184" "J9VTX8" "CNAG_01513"
"185" "T2BNI1" "CNAG_02756"
"186" "J9VHR1" "CNAG_00016"
"187" "T2BNK3" "CNAG_01940"
"188" "J9VWG7" "CNAG_04197"
"189" "J9W011" "CNAG_06060"
"190" "J9W1B2" "CNAG_01660"
"191" "T2BMM3" "CNAG_02174"
"192" "J9VTF5" "CNAG_01532"
"193" "J9VFX4" "CNAG_03766"
"194" "J9VJ11" "CNAG_05152"
"195" "J9VPD8" "CNAG_05179"
"196" "J9VW46" "CNAG_04576"
"197" "J9VY34" "CNAG_06101"
"198" "J9VZS3" "CNAG_07883"
"199" "J9VM23" "CNAG_02305"
"200" "J9VY80" "CNAG_06145"
"201" "J9VL31" "CNAG_03813"
"202" "J9VLX7" "CNAG_04099"
"203" "J9VQT9" "CNAG_01189"
"204" "J9W0C8" "CNAG_04734"
"205" "J9VXH1" "CNAG_01915"
"206" "T2BM39" "CNAG_05188"
"207" "J9VS68" "CNAG_02399"
"208" "J9VSH0" "CNAG_04838"
"209" "J9VTC7" "CNAG_01188"
"210" "J9VVT2" "CNAG_06530"
"211" "J9VZV9" "CNAG_05986"
"212" "J9VWV9" "CNAG_05502"
"213" "J9VWY6" "CNAG_05536"
"214" "J9VSC7" "CNAG_04853"
"215" "J9VJ85" "CNAG_05024"
"216" "J9VU93" "CNAG_05865"
"217" "J9VPW5" "CNAG_03282"
"218" "J9VU49" "CNAG_04179"
"219" "J9VDW3" "CNAG_00091"
"220" "J9VT29" "CNAG_04603"
"221" "J9VV36" "CNAG_03214"
"222" "J9VX30" "CNAG_01734"
"223" "J9VXZ2" "CNAG_07900"
"224" "J9VWZ9" "CNAG_01697"
"225" "J9VZQ3" "CNAG_07880"
"226" "J9VQ69" "CNAG_02843"
