genes	logFC.A	FDR.A	logFC.AL	FDR.AL	groups	coarse_groups
CNAG_05599	2.00678967542178	2.50750759537119e-06	2.11427507481485	3.11035748404077e-06	Both up	Same
CNAG_04690	2.026479084644	3.79010169294671e-06	2.1182178677519	5.63718249918065e-06	Both up	Same
CNAG_05130	2.59848798428433	3.79010169294671e-06	2.45293053435738	7.93857359064014e-06	Both up	Same
CNAG_00047	2.03218624129871	3.79010169294671e-06	2.08760963063548	7.32181891506905e-06	Both up	Same
CNAG_04523	5.42940128295004	3.79010169294671e-06	5.5689780620854	7.32181891506905e-06	Both up	Same
CNAG_01331	2.06747027861497	4.1999101628853e-06	2.1004395923343	7.93857359064014e-06	Both up	Same
CNAG_02473	1.60866748230947	4.1999101628853e-06	1.58948450274998	7.93857359064014e-06	Both up	Same
CNAG_01769	1.34467265680156	6.04194302361065e-06	1.30433168666611	1.67512863257301e-05	Both up	Same
CNAG_00409	1.44697994606394	6.04194302361065e-06	1.59773692129943	7.93857359064014e-06	Both up	Same
CNAG_00879	1.66341319234381	6.04194302361065e-06	1.78764416174387	7.93857359064014e-06	Both up	Same
CNAG_03068	2.84052105600526	6.04194302361065e-06	2.65307936481756	1.81840105835352e-05	Both up	Same
CNAG_05042	1.31458437453774	7.6496751348683e-06	1.33103906200027	1.67512863257301e-05	Both up	Same
CNAG_05075	4.01681971146808	7.65563581084906e-06	3.60089404118201	2.38860133842144e-05	Both up	Same
CNAG_05767	1.58992957244055	9.64858515670761e-06	1.62288810434938	1.81840105835352e-05	Both up	Same
CNAG_07851	1.57911890680663	1.26956872985408e-05	1.41951900501444	5.06371584455995e-05	Both up	Same
CNAG_00662	1.26254521253211	1.27074469185939e-05	1.03648607728797	8.04285459497087e-05	Both up	Same
CNAG_03398	2.38285071750966	1.63544584522506e-05	2.57204973306452	1.83519398168692e-05	Both up	Same
CNAG_01257	1.99354428028878	1.75118102531229e-05	2.1312234656753	2.04859915253353e-05	Both up	Same
CNAG_03916	1.46083162624866	1.84293668594388e-05	1.44968972308925	4.32476420293289e-05	Both up	Same
CNAG_00627	2.71809442041865	2.32398730960315e-05	2.66230166834759	5.06371584455995e-05	Both up	Same
CNAG_01137	1.95120509798202	2.32398730960315e-05	1.89653304349137	5.06371584455995e-05	Both up	Same
CNAG_06836	1.86145509090646	2.43364145000696e-05	1.73661499905575	6.98730854924886e-05	Both up	Same
CNAG_02903	2.28844816294077	2.43364145000696e-05	2.30906616626562	4.82122073129382e-05	Both up	Same
CNAG_07363	1.2914483295739	2.4365966202691e-05	1.18706749904848	7.85815591621197e-05	Both up	Same
CNAG_06190	1.66305555888073	2.66706599467386e-05	1.86439997141137	2.60239308433155e-05	Both up	Same
CNAG_03234	2.15581841619274	2.93019555525495e-05	1.95087732607257	8.80794454196695e-05	Both up	Same
CNAG_02288	1.62072828141661	3.16862063593863e-05	1.54672375036638	7.85815591621197e-05	Both up	Same
CNAG_00505	1.13489141258538	3.81884898436051e-05	1.04215635659286	0.000123119786099109	Both up	Same
CNAG_00061	1.36760770354178	4.09607016643236e-05	1.4823074500198	5.06371584455995e-05	Both up	Same
CNAG_04216	2.44030075112418	5.10520765642844e-05	2.4267189333959	0.000105235624928791	Both up	Same
CNAG_04157	-1.1956187758784	5.27680858767193e-05	-0.918719125332891	0.000449570384912913	Both down	Same
CNAG_01605	1.50596975780654	5.40115236637671e-05	1.66670005923981	5.40176323771793e-05	Both up	Same
CNAG_05907	1.11412049937449	5.72354566537712e-05	0.936608726379593	0.000264756815522208	Both up	Same
CNAG_07695	1.39878878022181	5.72354566537712e-05	1.58469946253585	5.06371584455995e-05	Both up	Same
CNAG_03596	1.18994826562726	6.69049530876605e-05	1.29776338289662	7.02920625130663e-05	Both up	Same
CNAG_01946	2.09128137131539	6.69049530876605e-05	2.21944605062635	7.76754776921892e-05	Both up	Same
CNAG_03086	1.22175437258329	7.49430246820514e-05	1.20801923997637	0.00013167335955882	Both up	Same
CNAG_07004	0.936125577214563	7.7299902526668e-05	0.945984071492521	0.000126353700400498	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06098	1.21305726634394	0.000100627619471609	1.3546191100263	8.04285459497087e-05	Both up	Same
CNAG_01900	0.887975423195549	0.000124797838755406	1.03054326345456	7.85815591621197e-05	Both up	Same
CNAG_05993	2.10823992397083	0.000126812292904696	2.57292445751789	6.00392401776066e-05	Both up	Same
CNAG_00490	1.16620602352942	0.000130294803057014	1.04121462257031	0.000337365725186953	Both up	Same
CNAG_04638	1.24854221458195	0.000130294803057014	0.819208850443091	0.00118801466649356	Both up	Same
CNAG_02035	1.07336384744553	0.000133839879291087	1.17907851149698	0.000124984534778618	Both up	Same
CNAG_00531	0.958480098485821	0.000133839879291087	0.872384943645999	0.000337365725186953	Both up	Same
CNAG_03452	0.797364838760543	0.000133839879291087	0.870604439472196	0.00013167335955882	Both up	Same
CNAG_01252	2.17583201845674	0.000133839879291087	2.18997954653165	0.000181425995396394	Both up	Same
CNAG_04689	1.26480576498495	0.000133839879291087	0.906896626200114	0.000876618895116483	Both up	Same
CNAG_07559	2.23560209979588	0.000133839879291087	2.78937136884615	6.09665755848613e-05	Both up	Same
CNAG_00275	2.27728265155379	0.000133839879291087	2.51327945028972	0.000119765509088169	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_03674	1.71903441963248	0.000143553672052982	1.93358146280327	0.000115989968765049	Both up	Same
CNAG_01621	2.90078174722321	0.000146443654112591	3.598008813017	6.65363498051107e-05	Both up	Same
CNAG_00815	1.20275388034126	0.000146443654112591	0.849008582067151	0.00103341260140144	Both up	Same
CNAG_04186	2.6666758746568	0.000149711169620396	2.90398021624843	0.00013167335955882	Both up	Same
CNAG_02676	0.788285300762321	0.000152093937941915	0.729853240247603	0.000383832157273345	Both up	Same
CNAG_05537	-1.83071346851804	0.000165737825649129	-1.60118426477288	0.000525696033168915	Both down	Same
CNAG_02799	0.983142683113965	0.000165737825649129	1.0310760247034	0.000195333902492906	Both up	Same
CNAG_05160	1.24314554876489	0.000168845032576229	1.23044523511406	0.000284237376770762	Both up	Same
CNAG_00050	1.03106491186511	0.000168845032576229	1.16374841800448	0.000141412971662353	Both up	Same
CNAG_06432	2.35604865772057	0.000180903658119309	3.06734569832413	6.65363498051107e-05	Both up	Same
CNAG_05089	1.540639867985	0.000180903658119309	1.16917029591178	0.000838627195744186	Both up	Same
CNAG_07401	1.66956295628454	0.000181175458838657	1.74113282699072	0.000226891215867339	Both up	Same
CNAG_01945	3.51713977938268	0.000181175458838657	3.63192868268926	0.000214005076063154	Both up	Same
CNAG_01097	1.94999083609224	0.000181175458838657	2.15712142223669	0.000159365480606436	Both up	Same
CNAG_00025	-1.14790276460083	0.000181175458838657	-1.33066092093976	0.000166440165319962	Both down	Same
CNAG_02968	2.28258366657086	0.000181175458838657	2.21494032814606	0.000315731008333169	Both up	Same
CNAG_04269	0.958743595406529	0.000187876521019904	0.985528125653612	0.000264756815522208	Both up	Same
CNAG_06794	0.900484576727503	0.000201533520877952	0.93142458286829	0.000271726409660095	Both up	Same
CNAG_00637	1.71667592347318	0.000204757810964144	2.23294138997198	7.76754776921892e-05	Both up	Same
CNAG_05343	-1.02972411942483	0.000211952576336361	-0.858237529040496	0.000810986972423628	Both down	Same
CNAG_04531	0.749883069821846	0.000211952576336361	0.88440852226393	0.000142479992534217	Both up	Same
CNAG_02430	1.28608095134054	0.000218718399550616	1.16607025971818	0.000475687261445554	Both up	Same
CNAG_05292	1.01137796849917	0.000227826992734236	1.37861936116522	6.65363498051107e-05	Both up	Same
CNAG_04546	1.08756115840604	0.000230541984563	0.831127667017639	0.00103341260140144	Both up	Same
CNAG_00237	1.48301610666085	0.000230541984563	1.22117640055009	0.000753828172280015	Both up	Same
CNAG_06806	0.824120951391061	0.000230541984563	0.7081044091902	0.000664144419603706	Both up	Same
CNAG_04217	4.49077448665644	0.000230541984563	5.05753585296914	0.000165378262126848	Both up	Same
CNAG_07538	1.26334303664077	0.000230541984563	1.54642582006758	0.000126012537421468	Both up	Same
CNAG_03375	0.874516047306216	0.000230541984563	0.779500783293605	0.000554565600527469	Both up	Same
CNAG_01026	0.96550158791383	0.000232612665792372	1.06281126760041	0.000223339441542701	Both up	Same
CNAG_02969	2.3341022412151	0.000233908096425254	2.65718386460112	0.000179845079351665	Both up	Same
CNAG_06554	1.18820820459272	0.000233908096425254	1.39763246285371	0.000162841427679749	Both up	Same
CNAG_00057	1.96930382385467	0.000233908096425254	2.40208156788988	0.000126353700400498	Both up	Same
CNAG_05138	0.837220448235632	0.000233908096425254	0.960848760703686	0.000182934883764327	Both up	Same
CNAG_04225	1.55575643760367	0.000241230770571657	1.48134377025195	0.000453925306021725	Both up	Same
CNAG_00747	1.05152968876516	0.000273345689203769	1.19988038629681	0.000205525957887576	Both up	Same
CNAG_00745	1.20959736443755	0.000275784665857882	1.30563400644751	0.000284237376770762	Both up	Same
CNAG_04564	0.93157748086654	0.000275784665857882	0.865732527737584	0.000525696033168915	Both up	Same
CNAG_06999	2.03111630338813	0.000275784665857882	2.36040027491904	0.000182934883764327	Both up	Same
CNAG_06213	1.05656609103639	0.000275784665857882	1.09050505202383	0.000380217945105057	Both up	Same
CNAG_04787	1.3951853308642	0.000287393908655133	1.27971809893546	0.000556982346333848	Both up	Same
CNAG_01806	1.1313731155112	0.00028914642299414	0.990940875505255	0.000717616048664959	Both up	Same
CNAG_03558	1.04996170812884	0.00028914642299414	1.38150802991043	0.000110265087249532	Both up	Same
CNAG_00539	2.74039337324805	0.000313368858518812	3.0620345450238	0.000230974517600485	Both up	Same
CNAG_02681	0.852840852577415	0.000313733088043471	0.82743592796059	0.000494582671541048	Both up	Same
CNAG_02314	0.899430817240875	0.000313733088043471	0.90096983966812	0.000453925306021725	Both up	Same
CNAG_00443	1.18201023252088	0.000313733088043471	0.898473447585612	0.0013470899019149	Both up	Same
CNAG_00696	1.09471314548192	0.000329046334102217	1.11728618305685	0.000443341479281395	Both up	Same
CNAG_02133	1.26558727582905	0.000329254380366354	1.51332282654626	0.00018875670831792	Both up	Same
CNAG_02132	1.54610762061061	0.000329254380366354	1.53425996362566	0.000453925306021725	Both up	Same
CNAG_05548	1.52604676599809	0.000349010791061185	1.53055770460905	0.000453925306021725	Both up	Same
CNAG_03667	3.11728074729057	0.000361085915753115	3.97920957274576	0.000144089176018914	Both up	Same
CNAG_00638	2.30177355393368	0.000375608467975495	2.67090659652779	0.000230974517600485	Both up	Same
CNAG_06236	-0.648257548053742	0.000375608467975495	-0.287627095417934	0.0195812320515409	Both down	Same
CNAG_03692	1.54908255689979	0.000380785929813603	1.46376458577931	0.000576936899064002	Both up	Same
CNAG_01984	1.10362733808262	0.000380785929813603	1.26936618109321	0.000277884262622941	Both up	Same
CNAG_06010	0.779220962492055	0.000381727311359042	0.901752350434041	0.000278334350658374	Both up	Same
CNAG_07862	1.18151310427454	0.000383035869867299	1.29247561757397	0.000364600353873179	Both up	Same
CNAG_04039	0.795919298770528	0.000388279296758219	1.03061452507861	0.000159365480606436	Both up	Same
CNAG_01948	-0.699295803430945	0.000392996467642318	-0.560953026554283	0.00148076054989907	Both down	Same
CNAG_02590	1.11271707686176	0.000393371174256249	1.1084557003222	0.000511252157907914	Both up	Same
CNAG_01027	1.63957201509374	0.000393371174256249	1.81549073675056	0.00033770317301918	Both up	Same
CNAG_06377	0.735149720149859	0.000393371174256249	0.73219015131165	0.000525696033168915	Both up	Same
CNAG_06216	1.37112750395324	0.000393371174256249	1.75936135079579	0.000162841427679749	Both up	Same
CNAG_05018	1.19365973587378	0.000396985125158889	0.957407103785205	0.00129233769201426	Both up	Same
CNAG_03085	2.02852178367761	0.0004001238295072	1.61523848723103	0.00124440555195212	Both up	Same
CNAG_06640	1.4743831079661	0.000400353937446204	1.78960471791978	0.000214005076063154	Both up	Same
CNAG_07334	0.794574534554646	0.000410842778909895	1.01581205939229	0.000178010980908651	Both up	Same
CNAG_00516	0.79255918763899	0.000412330698726846	0.612767889569065	0.0016458031864998	Both up	Same
CNAG_05180	1.35458736611242	0.000419203514057339	1.11360471172807	0.00123433103751624	Both up	Same
CNAG_07692	-0.749407363275454	0.00042508209360541	-0.423054174906648	0.00778446888950764	Both down	Same
CNAG_03919	0.900887926332706	0.00042508209360541	0.949684212889926	0.000453925306021725	Both up	Same
CNAG_05544	1.313133768445	0.00042508209360541	1.38146293947386	0.000453925306021725	Both up	Same
CNAG_01525	0.933348899803551	0.00042508209360541	0.978635142196297	0.000463010883424513	Both up	Same
CNAG_02013	1.04556441216883	0.00042508209360541	1.31918108647559	0.000197565687425345	Both up	Same
CNAG_05746	0.997441183309366	0.00042508209360541	1.03623191813273	0.000491688948218206	Both up	Same
CNAG_05031	1.57945320761728	0.00042508209360541	1.61359908260314	0.000491688948218206	Both up	Same
CNAG_01232	0.737722044524391	0.00042508209360541	0.603817382647701	0.0013470899019149	Both up	Same
CNAG_03966	-0.994937157028283	0.00042508209360541	-0.970335609540706	0.000768386338843681	Both down	Same
CNAG_04311	-1.2608791201948	0.00042508209360541	-1.33603237169636	0.000525696033168915	Both down	Same
CNAG_04944	1.08560421772491	0.000432719463037607	1.12638528859259	0.000491688948218206	Both up	Same
CNAG_04496	-1.25833884863349	0.000432719463037607	-1.29099051862941	0.000630822210184291	Both down	Same
CNAG_02023	1.91361706186861	0.000432719463037607	1.89766511114049	0.000554565600527469	Both up	Same
CNAG_01112	1.25107431744903	0.000432719463037607	1.4467010514954	0.000329361563090879	Both up	Same
CNAG_01742	1.48807265372737	0.000432719463037607	1.5667280819566	0.000453925306021725	Both up	Same
CNAG_03685	1.43424324493236	0.000434322829955444	1.35849699742335	0.000743449498177915	Both up	Same
CNAG_02038	0.881018934908825	0.000436429796219252	0.981048272966666	0.000420616638521038	Both up	Same
CNAG_03727	1.01023545672602	0.000436429796219252	1.19878248410163	0.0002990470044175	Both up	Same
CNAG_07164	1.3293749820432	0.000436429796219252	1.75625653317479	0.000165378262126848	Both up	Same
CNAG_01380	1.21361745936167	0.000436429796219252	1.12935966121132	0.000802305160743123	Both up	Same
CNAG_01635	0.862478706256649	0.000436429796219252	0.782246978915994	0.000932401668247555	Both up	Same
CNAG_03415	1.77146549456973	0.000436429796219252	1.37930621976549	0.00157794427931182	Both up	Same
CNAG_03688	2.28488793094802	0.000445497171723088	2.72537612074249	0.000278334350658374	Both up	Same
CNAG_02934	1.49067442339908	0.000445497171723088	1.63970801829169	0.000438540059598407	Both up	Same
CNAG_05572	2.16053127846046	0.000445497171723088	2.29120933904798	0.000453925306021725	Both up	Same
CNAG_04759	1.04471060298261	0.000459727322764264	0.710508598058475	0.00336372374356035	Both up	Same
CNAG_02427	1.60365225245201	0.000459727322764264	1.67804658627912	0.000491688948218206	Both up	Same
CNAG_06593	0.997360342192944	0.000459727322764264	1.09737835449473	0.000449570384912913	Both up	Same
CNAG_00394	-1.0487639666574	0.000459727322764264	-0.886434065262595	0.00148076054989907	Both down	Same
CNAG_07338	1.77786071877011	0.000459727322764264	1.8899146125868	0.000475687261445554	Both up	Same
CNAG_03233	1.17015569881521	0.000459727322764264	1.21764248557977	0.000525696033168915	Both up	Same
CNAG_04271	-1.26586175621543	0.000459727322764264	-1.35536619548458	0.000559836564859856	Both down	Same
CNAG_01713	1.60829697103177	0.000459727322764264	1.58638350812328	0.000630822210184291	Both up	Same
CNAG_04009	0.766277091142256	0.000459727322764264	0.887460335893718	0.000385228420276701	Both up	Same
CNAG_07771	1.08721083326015	0.000459727322764264	1.16911763616942	0.000475687261445554	Both up	Same
CNAG_00044	0.919969847550009	0.000459727322764264	1.04839032184955	0.000407491080860685	Both up	Same
CNAG_03837	1.21108171378989	0.000459727322764264	1.32123643816322	0.000453925306021725	Both up	Same
CNAG_00939	1.8168610584905	0.000460521849662141	1.86857010531681	0.000520560743383096	Both up	Same
CNAG_04920	3.00643199760947	0.000460521849662141	3.21623492401611	0.000453925306021725	Both up	Same
CNAG_06770	1.38947354030886	0.000460521849662141	1.65427726354496	0.000315813933162107	Both up	Same
CNAG_01076	1.69468767238101	0.000464606079796876	1.39465790518181	0.00144626969226991	Both up	Same
CNAG_02008	-0.617603372472297	0.000466265852547164	-0.712413309297447	0.000449570384912913	Both down	Same
CNAG_01422	1.08593193495345	0.000466265852547164	1.16228801130208	0.000494582671541048	Both up	Same
CNAG_03336	-0.655830551797135	0.000466265852547164	-0.425584579336789	0.00506383667100507	Both down	Same
CNAG_03677	0.67099149804312	0.000466265852547164	0.526010780161985	0.00195456540085655	Both up	Same
CNAG_06214	0.727286722388408	0.000466265852547164	0.846548533789767	0.000391738088784523	Both up	Same
CNAG_00663	1.05983148527406	0.000466265852547164	1.06516500808874	0.000658602733863476	Both up	Same
CNAG_01055	0.925828892609987	0.000466265852547164	0.701289456412596	0.00224141906303062	Both up	Same
CNAG_05425	-0.678631900313065	0.000466265852547164	-0.931297383036902	0.000197642915258148	Both down	Same
CNAG_03882	0.865908813416387	0.000466265852547164	0.958145128996618	0.000453925306021725	Both up	Same
CNAG_01577	-1.61042357759407	0.000466265852547164	-1.70758049552078	0.000683380093088019	Both down	Same
CNAG_05911	-1.71860901610803	0.000466265852547164	-1.60033435819971	0.00114776477322785	Both down	Same
CNAG_07629	1.4866002292409	0.000466265852547164	1.64522473256795	0.000453925306021725	Both up	Same
CNAG_03311	-1.50294729693022	0.000466265852547164	-1.71236557804336	0.000502507943552862	Both down	Same
CNAG_03225	0.752248958567713	0.000466265852547164	0.803211777946714	0.000520560743383096	Both up	Same
CNAG_04112	1.78331380810601	0.000466265852547164	2.25964317414993	0.000246320307176834	Both up	Same
CNAG_04988	2.02960198314923	0.000469166129300106	1.55726926522009	0.00185176517214929	Both up	Same
CNAG_01101	-0.969130592601633	0.000469166129300106	-0.933885718742952	0.00097171738799762	Both down	Same
CNAG_00930	-0.665540381494423	0.000470245944381707	-0.938382069580779	0.000181425995396394	Both down	Same
CNAG_02205	1.0549978165841	0.000471126401038389	1.19653546671405	0.000443341479281395	Both up	Same
CNAG_04625	1.29810264428968	0.000471126401038389	1.570506045909	0.000321355227338933	Both up	Same
CNAG_00121	1.32065746305782	0.000471126401038389	1.58753120816904	0.000332242662226324	Both up	Same
CNAG_06237	-0.798086490510432	0.000473478996505914	-0.686577873982645	0.00152660338989609	Both down	Same
CNAG_04098	1.77202511590092	0.00048625628267613	1.90220808056917	0.000494582671541048	Both up	Same
CNAG_02194	-1.60594994113593	0.000492245413515622	-1.69067203024723	0.000758513151807918	Both down	Same
CNAG_04757	2.09305439936772	0.000493848806110694	2.8209966037284	0.000182934883764327	Both up	Same
CNAG_06924	1.79164454820594	0.000493848806110694	1.61619599224583	0.00105155870535292	Both up	Same
CNAG_01842	-0.958114869367511	0.000493848806110694	-0.892782248117533	0.00117082321138645	Both down	Same
CNAG_07316	1.99330770811399	0.000493848806110694	2.11294671354392	0.000523641641936091	Both up	Same
CNAG_07043	1.45648963128696	0.000493848806110694	1.41524389452012	0.000802305160743123	Both up	Same
CNAG_06354	-0.863411388131762	0.000493848806110694	-0.612494575362931	0.00378215520354508	Both down	Same
CNAG_02661	1.14682157274825	0.000493848806110694	0.904083248815888	0.00195456540085655	Both up	Same
CNAG_03245	0.817280977313094	0.000493848806110694	0.796711627873751	0.000835652117545389	Both up	Same
CNAG_02444	1.32072255652181	0.000493848806110694	1.52739565004041	0.000438540059598407	Both up	Same
CNAG_06028	0.69133673057331	0.000493848806110694	0.685890151023373	0.000802305160743123	Both up	Same
CNAG_06917	1.58443373117673	0.00050430466309031	1.26875297056175	0.00180544448750941	Both up	Same
CNAG_02933	0.949765039753299	0.00050430466309031	0.829067342280757	0.00134634654060234	Both up	Same
CNAG_07725	1.29777101501809	0.00050430466309031	0.898246813271748	0.00371214610643291	Both up	Same
CNAG_05260	1.97179245803039	0.000510548137546901	2.32360030389676	0.00038605696377791	Both up	Same
CNAG_06578	2.21427567386282	0.000514557481750615	2.41183236355455	0.000491688948218206	Both up	Same
CNAG_06401	-0.709228684040924	0.000514557481750615	-0.87754696790329	0.00039235834848551	Both down	Same
CNAG_06566	0.595014190228878	0.000514557481750615	0.594934323800338	0.000802305160743123	Both up	Same
CNAG_02953	1.38766982656443	0.000514557481750615	1.58973001432801	0.000449570384912913	Both up	Same
CNAG_03477	-1.67467834690002	0.000514557481750615	-1.53056966230723	0.00135279806867602	Both down	Same
CNAG_08008	1.94725182631048	0.000514557481750615	2.06338045150545	0.000552809719716222	Both up	Same
CNAG_06932	-1.84233900674361	0.000514557481750615	-1.28087792958875	0.00373422600479087	Both down	Same
CNAG_07768	1.36567842405433	0.000523433059304767	1.4940796435341	0.000520560743383096	Both up	Same
CNAG_05050	0.670181102315187	0.000523433059304767	0.544487106237106	0.00195456540085655	Both up	Same
CNAG_03521	-1.3552014800052	0.000525194663643456	-1.27896861468125	0.00115511608446758	Both down	Same
CNAG_02843	1.55738146750299	0.000527469572299566	1.79769951554807	0.000443341479281395	Both up	Same
CNAG_07308	3.40312550321137	0.000534337169580601	3.97878445287198	0.000432714458982247	Both up	Same
CNAG_01636	-0.823125381458752	0.000534337169580601	-0.689707424701265	0.00192030712338703	Both down	Same
CNAG_06238	2.64238046826051	0.000534337169580601	3.03486976276409	0.000443341479281395	Both up	Same
CNAG_00429	-1.39845394472093	0.000537750071686861	-1.37476902309189	0.00100912704197188	Both down	Same
CNAG_01485	0.86342746532728	0.000537925908661663	0.826046938714537	0.000993704997048441	Both up	Same
CNAG_04850	1.01236731891691	0.000555754850552388	0.87495060977495	0.00152660338989609	Both up	Same
CNAG_05590	1.52852643634354	0.000556760312218173	1.37445904891428	0.00124440555195212	Both up	Same
CNAG_06739	0.725547901011027	0.000556760312218173	0.652118909922098	0.00133112281277686	Both up	Same
CNAG_06538	-1.01247778856166	0.00058450696164317	-0.987097754631708	0.00109644861017998	Both down	Same
CNAG_02775	1.20944332445517	0.00058450696164317	1.0373290620419	0.00157110186458252	Both up	Same
CNAG_04650	-0.682115578932032	0.000594362231079503	-0.609228068714556	0.00157794427931182	Both down	Same
CNAG_01010	1.05678771474124	0.000594362231079503	1.15628558254484	0.000564883140707072	Both up	Same
CNAG_06628	0.714057598843157	0.000594362231079503	0.679386848008862	0.00110672604794236	Both up	Same
CNAG_02322	-1.25925593881771	0.000594362231079503	-1.42494483164352	0.000630822210184291	Both down	Same
CNAG_02556	1.30560536950488	0.000594362231079503	1.35072840258795	0.000766163797503386	Both up	Same
CNAG_01584	2.39009012649181	0.000599662944912497	2.9496978335232	0.000385228420276701	Both up	Same
CNAG_00373	0.688811831070628	0.000601393329145239	0.390412483098053	0.0114197589973106	Both up	Same
CNAG_00920	1.27644847777323	0.000601393329145239	1.6733548511631	0.000284237376770762	Both up	Same
CNAG_01913	1.4380349096064	0.000604266522873329	1.22654411956036	0.00163567279299423	Both up	Same
CNAG_07660	0.642533733372338	0.00060929405838852	0.729948671461397	0.000520560743383096	Both up	Same
CNAG_07026	2.08673749926854	0.00060929405838852	1.99268934868552	0.000971580726907209	Both up	Same
CNAG_05757	-1.79037775660886	0.000614589313539039	-2.1089743762152	0.000564883140707072	Both down	Same
CNAG_05431	1.13186017131223	0.000615340222810216	1.03289476151644	0.00129233769201426	Both up	Same
CNAG_05521	1.13280827611596	0.000615703141264554	1.3720591950179	0.000436209277026769	Both up	Same
CNAG_00295	1.52463444654662	0.000615703141264554	1.10613378221022	0.00315110051296858	Both up	Same
CNAG_04149	-0.685502468546247	0.000615703141264554	-0.522959799639506	0.00338197380882795	Both down	Same
CNAG_03047	-1.46109628526642	0.000615703141264554	-1.54406603357179	0.000847816070393005	Both down	Same
CNAG_02439	1.18350256059434	0.000617660111439817	1.23050193319786	0.000779496141058374	Both up	Same
CNAG_05410	1.49335093074272	0.000619441830465015	1.65558237572732	0.000554565600527469	Both up	Same
CNAG_01105	-1.4241747683678	0.000621606608308877	-1.41034703795385	0.00115511608446758	Both down	Same
CNAG_04256	1.53648827522832	0.000630588046262331	1.541304146182	0.00087359473203803	Both up	Same
CNAG_03557	0.866091535045792	0.000634876014644417	0.834246523570855	0.00110672604794236	Both up	Same
CNAG_06096	-1.54268779695219	0.000640951811811568	-1.5385747722051	0.00118801466649356	Both down	Same
CNAG_06139	1.13934136610646	0.000640951811811568	1.20380503220656	0.000702141518427278	Both up	Same
CNAG_01959	-1.67337887766528	0.000640951811811568	-1.78657782273364	0.000899391481976085	Both down	Same
CNAG_05781	-0.889406362384169	0.000640951811811568	-0.6362888035017	0.00457917774561432	Both down	Same
CNAG_02870	-1.67986761165289	0.000640951811811568	-1.62024060407228	0.00134634654060234	Both down	Same
CNAG_05500	0.84899179552424	0.000646071552867275	0.603004869230548	0.00430037426928378	Both up	Same
CNAG_05462	1.07011262340356	0.000647330404497675	1.23008388698625	0.00051431027107545	Both up	Same
CNAG_03148	-1.47174218649542	0.000651597618125371	-1.58425693367338	0.000885903014371224	Both down	Same
CNAG_00043	0.867955392748236	0.000651597618125371	0.923578385141136	0.000758513151807918	Both up	Same
CNAG_06517	-2.19501518579156	0.000651597618125371	-2.38750801995003	0.000898453312698647	Both down	Same
CNAG_02757	0.787564838859148	0.000651597618125371	0.734169605937145	0.00131309772307412	Both up	Same
CNAG_00397	1.24035744542985	0.000651597618125371	0.979066746653631	0.00268948141964401	Both up	Same
CNAG_01823	0.575123838817517	0.000651597618125371	0.529371332084633	0.00139969508478197	Both up	Same
CNAG_04993	0.927885036797695	0.000651597618125371	0.77665252875331	0.00198122496154375	Both up	Same
CNAG_02355	1.92140906556265	0.000651597618125371	2.07172966434287	0.000671491894862284	Both up	Same
CNAG_02407	1.87254471029766	0.000651597618125371	2.11363004970457	0.000530175142267812	Both up	Same
CNAG_03668	1.44353352865743	0.000651597618125371	1.65556477363624	0.000517920153526478	Both up	Same
