genes	logFC.A	FDR.A	logFC.AL	FDR.AL	groups	coarse_groups
CNAG_02554	-0.695889023168723	0.00468872039913129	-0.903893700151594	0.00273536715438303	Both down	Same
CNAG_00259	-1.41128437261737	0.0047059430768578	-1.46333305025362	0.00775943369685815	Both down	Same
CNAG_06342	-0.785592109744997	0.00470754726272515	-0.657153876584097	0.0188675669161929	Both down	Same
CNAG_01973	0.410405304156627	0.00471189109844489	0.447091376995134	0.00530131079960558	Both up	Same
CNAG_00906	-0.903949359346207	0.0047268354412607	-1.02493141373558	0.00511643311024835	Both down	Same
CNAG_02002	-0.572350711594399	0.0047268354412607	-0.472709110731026	0.0201603037891017	Both down	Same
CNAG_03789	-1.51540497907519	0.00473268408398498	-1.73351204622239	0.00522896265145042	Both down	Same
CNAG_02136	-0.79322361231122	0.00473268408398498	-0.494393583197579	0.0584810303609875	AMB down only	AMB only
CNAG_07445	0.367833475256977	0.00473727592029292	0.367565203688107	0.00800914498815472	Both up	Same
CNAG_05678	-0.949418190382399	0.00473727592029292	-1.0961934162932	0.00460851117312282	Both down	Same
CNAG_02654	-0.977012237216361	0.00473727592029292	-1.02062488954786	0.00723423081361769	Both down	Same
CNAG_03604	-0.360357781887394	0.00473727592029292	-0.283352748497457	0.0248941004551865	Both down	Same
CNAG_01348	2.25820623527108	0.00473727592029292	2.76766433488574	0.00286129678139941	Both up	Same
CNAG_04026	-0.964448616463446	0.00473727592029292	-1.19832208500831	0.00339795536417472	Both down	Same
CNAG_05529	-0.559020148988654	0.00473727592029292	-0.75142089299984	0.00234419645681776	Both down	Same
CNAG_01787	0.711205978067701	0.00473727592029292	0.789689524712844	0.0052696402430601	Both up	Same
CNAG_06396	3.82039259736679	0.00473727592029292	5.08062749997303	0.00233354679058366	Both up	Same
CNAG_05871	1.47110581251518	0.00473727592029292	2.42655101565256	0.00087359473203803	Both up	Same
CNAG_04905	-1.00730044551076	0.00473727592029292	-0.900476991309887	0.0143565454546794	Both down	Same
CNAG_02603	0.85712925457485	0.00474390211834277	0.655310827421531	0.0251808726065166	Both up	Same
CNAG_04589	1.34660474023083	0.00476943400569949	1.43060371354959	0.00562509304543314	Both up	Same
CNAG_02666	-0.952667970326874	0.00477234563577751	-1.12715649602839	0.00426679889724162	Both down	Same
CNAG_05154	-0.767454578353301	0.00477234563577751	-0.660887342648783	0.0168058406238781	Both down	Same
CNAG_06610	0.754562308597991	0.0047770112134944	0.689990390044678	0.0121869292872409	Both up	Same
CNAG_00363	0.615546679903138	0.0047770112134944	0.78611505440461	0.00260696565168519	Both up	Same
CNAG_02162	-1.11287426313899	0.0047770112134944	-1.04342580406892	0.0118353694363135	Both down	Same
CNAG_06626	-0.707067643517508	0.00478927116422363	-0.86848204097783	0.00365586266577064	Both down	Same
CNAG_07634	-0.361772508611273	0.00479990584348387	-0.14762375953437	0.192891777010142	AMB down only	AMB only
CNAG_04291	-0.826094823772531	0.00479990584348387	-1.01459090206097	0.00371214610643291	Both down	Same
CNAG_05846	-0.77088751593764	0.00480024563088525	-0.700954559719	0.0138472487736961	Both down	Same
CNAG_06727	0.513756375612412	0.00480132105563755	0.660951330562929	0.00264827178566044	Both up	Same
CNAG_02680	0.437626935410309	0.00480132105563755	0.419207422421895	0.00992505103942203	Both up	Same
CNAG_04105	3.60382228211016	0.00480132105563755	5.04922878868099	0.0017572063744838	Both up	Same
CNAG_04324	-0.610409519506904	0.00480132105563755	-0.874772029335412	0.00181749297783558	Both down	Same
